,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
101,-0.1655,0.076,0.924,0.0,03-24-2018 00:45:00,"Jamarion Styles lost his hands as an infant, but as he sinks 3-point shots on the basketball court, he tells… https://t.co/HNN0aSK2qo",1,@CBSNews
102,0.0,0.0,1.0,0.0,03-23-2018 21:45:01,"Investigators are searching the London offices of Cambridge Analytica, the analytics firm at the center of the Face… https://t.co/OfzMC3u9pm",2,@CBSNews
103,0.0,0.0,1.0,0.0,03-23-2018 17:02:27,"NEW: Pres. Trump expected to sign omnibus spending bill at 1 p.m. ET event, @MajorCBS confirms with congressional a… https://t.co/TgMO0v87i2",3,@CBSNews
104,-0.6705,0.17,0.83,0.0,03-23-2018 12:48:08,Yves Lefebvre of the French police union tells the AP that the gunman shot and killed 1 person as he entered the su… https://t.co/3PvBnovFGz,4,@CBSNews
105,0.3818,0.0,0.894,0.106,03-23-2018 11:00:01,"More than 150 whales are stranded in Hamelin Bay in western Australia, and only 15 of them were still alive on Frid… https://t.co/zrM8I8il5F",5,@CBSNews
106,0.0,0.0,1.0,0.0,03-23-2018 07:03:04,Steve Bannon claims he didn't know about Facebook data mining https://t.co/xQlqojIaDL https://t.co/OMv63NGtAK,6,@CBSNews
107,-0.6461,0.201,0.799,0.0,03-23-2018 02:15:01,"""The bus was leaning little and that's when people started to really worry."" Terrified passengers onboard a Dallas-… https://t.co/Z7RiRDZif7",7,@CBSNews
108,0.0,0.0,1.0,0.0,03-22-2018 22:26:23,"""Don't run for president."" President Trump gave some light-hearted advice he'd give his 25-year-old self during the… https://t.co/HR8EQl1FPL",8,@CBSNews
109,-0.34,0.112,0.888,0.0,03-22-2018 18:00:01,"DEVELOPING: A large grass fire is burning homes and cars in Grady County, Oklahoma, which is just south of Oklahoma… https://t.co/xuJ95c6FD0",9,@CBSNews
110,0.0,0.0,1.0,0.0,03-22-2018 15:43:09,WATCH LIVE: House Speaker Paul Ryan holds news conference as government spending bill deadline looms… https://t.co/9Hel4JsrfJ,10,@CBSNews
111,0.0,0.0,1.0,0.0,03-22-2018 12:34:50,Here’s a look at some of this morning’s headlines on @CBSThisMorning: https://t.co/s4ur9hCrYK,11,@CBSNews
112,-0.128,0.073,0.927,0.0,03-22-2018 11:14:25,Tens of millions of people from Pennsylvania to Maine could face another tough commute Thursday as the fourth nor'e… https://t.co/K7zV8qsF3S,12,@CBSNews
113,0.0,0.0,1.0,0.0,03-22-2018 09:02:05,"Controversy over new, lightly pot-infused soda, California Dreamin' https://t.co/eCBmOz7bFo https://t.co/qpOG5OlpRX",13,@CBSNews
114,-0.3818,0.224,0.776,0.0,03-22-2018 04:33:04,"U.S. trade rep: ""We are losing to China"" https://t.co/x6OTlr4gri https://t.co/5rS9tyUdBg",14,@CBSNews
115,-0.3612,0.122,0.878,0.0,03-22-2018 01:05:44,Mark Zuckerberg says not digging deeper into Cambridge Analytica is one of Facebook's biggest mistakes. He spoke to… https://t.co/SY7otEg4fA,15,@CBSNews
116,0.0,0.0,1.0,0.0,03-21-2018 22:40:22,"""The storm system will continue to bring the [snow] bands into southern New England overnight and then wind down as… https://t.co/8rqXbOS6aG",16,@CBSNews
117,-0.6808,0.173,0.827,0.0,03-21-2018 17:25:01,"Former VP Joe Biden tells rally that he would have ""beat the hell out"" of President Trump in high school for commen… https://t.co/CF7WgaLfdK",17,@CBSNews
118,0.3612,0.0,0.872,0.128,03-21-2018 12:45:27,".@CBSThisMorning’s series, #AMorePerfectUnion, aims to show that what unites us as Americans is far greater than wh… https://t.co/NgqbP6yRdm",18,@CBSNews
119,-0.25,0.095,0.905,0.0,03-21-2018 11:17:23,"RT @CBSThisMorning: The nor'easter is disrupting travel plans. 

🚉 Amtrak cancelled more than 80 trains and modified some routes along the…",19,@CBSNews
120,-0.6808,0.272,0.728,0.0,03-21-2018 09:48:03,Mom who killed kids hours after husband filed for divorce is sentenced to 120 years https://t.co/B79sAKxoW8 https://t.co/nN00ZkhHdB,20,@CBSNews
121,0.0,0.0,1.0,0.0,03-21-2018 05:33:03,Austin Police say donated military device injures man at Texas Goodwill store https://t.co/nLYGH3cSt7 https://t.co/5NHie9Rkes,21,@CBSNews
122,0.3818,0.0,0.89,0.11,03-21-2018 01:36:24,"""The thing we need to be concerned about is the motive is focused on the geographical area, and that's the biggest… https://t.co/aOogz9vSHw",22,@CBSNews
123,-0.4215,0.123,0.877,0.0,03-20-2018 22:43:28,"RT @CBSEveningNews: Facebook is facing a federal investigation amid worries it may have mishandled data from more than 50M users

John Blac…",23,@CBSNews
124,-0.3182,0.126,0.874,0.0,03-20-2018 18:25:01,"Pres. Trump congratulates Vladimir Putin on victory in election fraught with ballot stuffing accusations; ""an Ameri… https://t.co/CUQNIYe0wQ",24,@CBSNews
125,0.3612,0.0,0.894,0.106,03-20-2018 16:32:29,"""We all agree that all votes should have an audible paper trail. And in 2016, five states used only electronic mach… https://t.co/60tI9I3gye",25,@CBSNews
126,0.6249,0.0,0.806,0.194,03-20-2018 13:16:05,"""We are closely monitoring the situation at Great Mills High School,"" @GovLarryHogan said in a tweet, adding Maryla… https://t.co/9reSlDbSzU",26,@CBSNews
127,0.0,0.0,1.0,0.0,03-20-2018 11:54:58,Here’s a look at this morning’s other headlines on @CBSThisMorning https://t.co/X5K5K9aXYw,27,@CBSNews
128,0.0,0.0,1.0,0.0,03-20-2018 10:30:01,"AHEAD: @CBSThisMorning is on scene just outside of San Antonio, Texas, with the breaking news of a new package expl… https://t.co/Hie2YiKZ5X",28,@CBSNews
129,0.0,0.0,1.0,0.0,03-20-2018 06:48:04,Jim Carrey slammed for painting believed to be Sarah Huckabee Sanders https://t.co/ur0VAJL7hl https://t.co/hVibm2AMg2,29,@CBSNews
130,0.0,0.0,1.0,0.0,03-20-2018 01:15:01,"Mississippi's governor signs the nation's tightest abortion restrictions into law, banning most abortions after 15… https://t.co/sr7NE4pzXX",30,@CBSNews
131,0.0,0.0,1.0,0.0,03-19-2018 20:15:01,"""We're used to operating through different vehicles in the shadows, and I look forward to building a very long term… https://t.co/k5g4P95rMl",31,@CBSNews
132,0.4168,0.0,0.834,0.166,03-19-2018 15:28:24,"""There were points in time where we had persons of interest...we have not identified a suspect or suspect at this t… https://t.co/znytsbkw3Y",32,@CBSNews
133,-0.4019,0.114,0.886,0.0,03-19-2018 12:45:30,Two people have been injured in an explosion in Austin -- the fourth this month. Police believe this device may hav… https://t.co/pvJqKpOab2,33,@CBSNews
134,0.0,0.0,1.0,0.0,03-19-2018 11:21:01,"As President Vladimir Putin sweeps Russian election for 4th term, what's next? https://t.co/5IwUkViTNp https://t.co/4lPowVKMN1",34,@CBSNews
135,0.4767,0.0,0.563,0.437,03-19-2018 09:03:03,Measuring animal intelligence https://t.co/9OdWwZnYKq https://t.co/QJCoRI5Eke,35,@CBSNews
136,0.0,0.0,1.0,0.0,03-19-2018 04:24:08,Facebook investigates employee's ties to Cambridge Analytica https://t.co/1olOed030j https://t.co/JyOIQU9kCb,36,@CBSNews
137,0.0,0.0,1.0,0.0,03-19-2018 01:00:01,"Russian Ambassador Anatoly Antonov vows retaliation after U.S. sanctions: ""If somebody sticks you, hits you, what w… https://t.co/pe6MW59C3Q",37,@CBSNews
138,-0.5423,0.179,0.821,0.0,03-18-2018 19:45:02,The suspension raises troubling new questions about Facebook's role in targeting voters during the 2016 presidentia… https://t.co/8kHaVkx9PC,38,@CBSNews
139,0.0,0.0,1.0,0.0,03-18-2018 15:40:01,In search of genius: What qualities make some minds rise above the rest? https://t.co/vEOgXD7Zzq https://t.co/00YGTFmReg,39,@CBSNews
140,0.0,0.0,1.0,0.0,03-18-2018 10:33:05,Graphic video made public from Pulse nightclub shooting at trial of gunman's widow https://t.co/iMguDl74Co https://t.co/ajnnUUwoHW,40,@CBSNews
141,0.6124,0.0,0.667,0.333,03-18-2018 06:18:06,Texas Tech recognizes outstanding show of sportsmanship https://t.co/CnzHJiSJXN https://t.co/RTJd2evHGb,41,@CBSNews
142,-0.5106,0.191,0.809,0.0,03-18-2018 02:48:04,Authorities euthanize turtle amid reports it was fed sick puppy in science class https://t.co/Ifllg2cStD https://t.co/dpPMpSKkgN,42,@CBSNews
143,0.0,0.0,1.0,0.0,03-17-2018 22:59:13,"You’ll never believe what Steve Nichols told Peter Van Sant in his latest interview tonight, for #48hours… https://t.co/dVocgGF4aM",43,@CBSNews
144,-0.5574,0.159,0.841,0.0,03-17-2018 18:00:33,"Former FBI Deputy Director Andrew McCabe, who briefly led the agency after Director James Comey was fired, claims h… https://t.co/ZvrMah8hmW",44,@CBSNews
145,0.2023,0.0,0.833,0.167,03-17-2018 12:18:07,"Top Saudi official: Secretive corruption crackdown was ""efficient"" https://t.co/ojJdq8AeLr https://t.co/e08jUSjNXJ",45,@CBSNews
146,-0.296,0.18,0.82,0.0,03-17-2018 07:33:04,Kids accused of injecting dog with cocaine in Philadelphia https://t.co/rZRrAmIc1I https://t.co/v2IY5l6eBw,46,@CBSNews
147,-0.4939,0.186,0.814,0.0,03-17-2018 03:48:04,Miami bridge collapse: Tearful families wait as officials expect to find more bodies https://t.co/2SeBsykJUF https://t.co/CJsmslPVBZ,47,@CBSNews
148,-0.5478,0.218,0.701,0.08,03-16-2018 22:42:13,"""More than a year in office, more than 20 top aides [under Pres. Trump] have either resigned, been fired or reassig… https://t.co/sMXu8pCsxg",48,@CBSNews
149,-0.3182,0.126,0.874,0.0,03-16-2018 17:36:15,"Canadians are confused about what President Trump says he told Prime Minister Justin Trudeau, report says… https://t.co/A78NUwdEVL",49,@CBSNews
150,-0.8934,0.433,0.567,0.0,03-16-2018 13:43:38,"While international condemnation intensifying over the spy poisoning attack, Russia is gearing up for Sunday's pres… https://t.co/dgnO8u1AV0",50,@CBSNews
151,-0.128,0.103,0.812,0.085,03-16-2018 11:28:36,"RT @CBSThisMorning: ""All we can do is promise a very thorough investigation, getting to the bottom of this and mourn those who we have lost…",51,@CBSNews
152,-0.7964,0.441,0.559,0.0,03-16-2018 09:54:04,Death toll raised to 6 in Fla. pedestrian bridge collapse https://t.co/MlXewpST9x https://t.co/TivjYgAPfw,52,@CBSNews
